variable,importance,importance_pct
max_responsiveness_points,0.10899057,10.899057
study_interval,0.0920222,9.20222
phase,0.08847237,8.847237
composition_score,0.082563564,8.256356
minutesafterwakeup,0.07893406,7.893406
fatigue,0.07392416,7.392416
duration,0.056759376,5.6759377
study_interval_sleep,0.05385129,5.385129
study_interval_resting_heart_rate,0.05366856,5.3668556
indigestion,0.05200701,5.2007008
foodcravings,0.047501206,4.7501206
rmssd_mean,0.04182135,4.182135
headaches,0.040575273,4.0575275
sleepissue,0.04013951,4.0139513
error,0.021749265,2.1749265
responsiveness_points,0.02137138,2.137138
minutesasleep,0.013470178,1.3470178
sleep_end_day_in_study,0.010636595,1.0636595
sorebreasts,0.008066115,0.8066115
flow_color,0.0070992676,0.7099268
weight_2022,0.004520008,0.4520008
appetite,0.0018566977,0.18566978
revitalization_score,0.0,0.0
resting_heart_rate,0.0,0.0
minutestofallasleep,0.0,0.0
sleep_points,0.0,0.0
light_sleep_signal_to_noise,0.0,0.0
infocode,0.0,0.0
stress,0.0,0.0
flow_volume,0.0,0.0
study_interval_respiratory_rate_summary,0.0,0.0
exertion_points,0.0,0.0
duration_score,0.0,0.0
study_interval_stress_score,0.0,0.0
minutesawake,0.0,0.0
