variable,importance,importance_pct
fatigue,0.19120598,19.120598
height_2024,0.09100937,9.100937
max_exertion_points,0.0876635,8.76635
timeinbed,0.079019405,7.9019403
height_2022,0.06502626,6.502626
error,0.06219791,6.219791
lightly,0.053217173,5.3217173
weight_2022,0.050816696,5.08167
sleep_points,0.04453588,4.453588
max_responsiveness_points,0.042029295,4.2029295
phase,0.0409376,4.09376
rmssd_mean,0.04019977,4.019977
low_frequency_mean,0.030221716,3.0221715
max_sleep_points,0.029125586,2.9125586
minutesafterwakeup,0.028797587,2.8797588
sleep_end_day_in_study,0.025717674,2.5717673
very,0.025257,2.5257
duration,0.004053786,0.40537858
stress_score,0.0027784407,0.27784407
minutesasleep,0.002705028,0.2705028
is_weekend_resting_heart_rate,0.0019791487,0.19791487
minutesawake,0.0015051902,0.15051901
efficiency,0.0,0.0
moderately,0.0,0.0
is_weekend,0.0,0.0
responsiveness_points,0.0,0.0
infocode,0.0,0.0
high_frequency_mean,0.0,0.0
exertion_points,0.0,0.0
value,0.0,0.0
