variable,importance,importance_pct
sleep_points,0.21354043,21.354044
height_2022,0.15136065,15.136065
original_start_day_in_study,0.14299484,14.299483
sleepissue,0.08489814,8.489814
baseline_relative_sample_standard_deviation,0.082665876,8.266587
last_modified_day_in_study,0.069826834,6.982683
bloating,0.060303535,6.0303535
study_interval_respiratory_rate_summary,0.04003239,4.003239
minutestofallasleep,0.028652305,2.8652306
max_responsiveness_points,0.027794132,2.7794132
baseline_relative_nightly_standard_deviation,0.019209808,1.9209808
study_interval_exercise,0.018908732,1.8908732
exerciselevel,0.012288921,1.2288921
is_weekend,0.011468325,1.1468325
glucose_value,0.010431085,1.0431085
sleep_end_day_in_study,0.00900481,0.900481
infocode,0.0048822192,0.4882219
study_interval_sleep,0.003643342,0.3643342
study_interval_stress_score,0.0034081137,0.34081137
sleep_end_day_in_study_computed_temperature,0.0027774025,0.27774024
minutesafterwakeup,0.0010341011,0.10341011
headaches,0.0004958013,0.049580127
error,0.0002531102,0.02531102
value,0.0001251463,0.012514629
foodcravings,0.0,0.0
is_weekend_resting_heart_rate,0.0,0.0
exertion_points,0.0,0.0
minutesasleep,0.0,0.0
max_exertion_points,0.0,0.0
nightly_temperature,0.0,0.0
responsiveness_points,0.0,0.0
sorebreasts,0.0,0.0
study_interval,0.0,0.0
study_interval_resting_heart_rate,0.0,0.0
weight_2022,0.0,0.0
