feature,VIP_score
stress_score,2.2921060038582937
lightly,1.8007174124211673
very,1.6025763264569013
efficiency,1.443444290961993
moderately,1.3579311042657913
appetite,0.6023737872579731
indigestion,0.5746272849454068
bloating,0.5699383899383403
cramps,0.5477427985900366
sleepissue,0.47108282003539687
headaches,0.4268357825628966
minutesasleep,0.3674751320344027
foodcravings,0.1975054092995686
exerciselevel,0.1909426014193816
sorebreasts,0.1884719826682419
fatigue,0.185397264549889
stress,0.07414825445930548
